,Unit_Price,Quantity,Discount,Total_Price,Cluster,Category
0,1.66,53.0,0.1,79.18,2,Water
4,0.87,35.0,0.1,27.4,2,Water
6,2.14,44.0,0.1,84.74,1,Juices
7,0.43,13.0,0.05,5.31,2,Water
9,1.38,3.0,0.05,3.93,2,Water
10,0.99,11.0,0.0,10.89,0,Soft Drinks
11,1.52,8.0,0.05,11.55,1,Juices
12,2.13,16.0,0.05,32.38,0,Soft Drinks
16,2.5,10.0,0.05,23.75,1,Juices
17,0.82,13.0,0.05,10.129999999999999,2,Water
20,1.61,13.0,0.0,20.93,2,Water
21,2.31,7.0,0.0,16.17,1,Juices
22,1.64,2.0,0.0,3.28,1,Juices
23,1.19,15.0,0.0,17.85,0,Soft Drinks
24,1.8,2.0,0.0,3.6,1,Juices
25,2.27,10.0,0.0,22.7,0,Soft Drinks
26,2.31,33.0,0.05,72.42,0,Soft Drinks
30,2.04,14.0,0.0,28.56,3,Alcoholic Beverages
31,1.69,7.0,0.0,11.83,1,Juices
32,1.46,2.0,0.0,2.92,2,Water
33,0.58,9.0,0.0,5.22,2,Water
34,1.23,11.0,0.0,13.53,0,Soft Drinks
36,1.46,3.0,0.0,4.38,2,Water
37,1.27,4.0,0.0,5.08,0,Soft Drinks
38,2.12,11.0,0.0,23.32,0,Soft Drinks
39,2.19,3.0,0.0,6.57,0,Soft Drinks
41,3.33,2.0,0.0,6.66,1,Juices
42,1.07,3.0,0.0,3.21,0,Soft Drinks
43,0.46,9.0,0.0,4.14,2,Water
44,3.46,7.0,0.0,24.22,1,Juices
45,4.32,13.0,0.0,56.16,3,Alcoholic Beverages
51,2.26,5.0,0.0,11.300000000000002,0,Soft Drinks
52,1.41,14.0,0.0,19.74,3,Alcoholic Beverages
54,2.35,12.0,0.0,28.2,0,Soft Drinks
55,1.71,4.0,0.0,6.84,2,Water
57,1.13,36.0,0.05,38.65,3,Alcoholic Beverages
58,2.13,3.0,0.0,6.39,0,Soft Drinks
59,0.55,12.0,0.0,6.599999999999999,2,Water
60,0.93,9.0,0.0,8.37,2,Water
61,2.38,6.000000000000001,0.0,14.28,1,Juices
62,3.02,9.0,0.0,27.18,1,Juices
63,1.37,9.0,0.0,12.33,3,Alcoholic Beverages
64,0.61,1.0,0.0,0.61,0,Soft Drinks
65,2.05,10.0,0.0,20.5,0,Soft Drinks
66,3.21,2.0,0.0,6.42,0,Soft Drinks
67,0.56,4.0,0.0,2.24,2,Water
68,1.09,12.0,0.0,13.08,3,Alcoholic Beverages
69,3.12,8.0,0.0,24.96,0,Soft Drinks
70,1.49,2.0,0.0,2.9800000000000004,0,Soft Drinks
71,1.38,1.0,0.0,1.38,2,Water
72,3.55,20.0,0.05,67.45,3,Alcoholic Beverages
73,2.25,53.0,0.1,107.32,1,Juices
74,2.26,15.0,0.0,33.9,0,Soft Drinks
75,3.31,3.0,0.0,9.93,0,Soft Drinks
76,2.33,23.0,0.05,50.91,0,Soft Drinks
79,0.8,15.0,0.05,11.4,0,Soft Drinks
80,1.5,10.0,0.05,14.25,1,Juices
81,2.43,56.0,0.05,129.28,0,Soft Drinks
86,0.57,48.0,0.1,24.62,2,Water
87,0.85,37.0,0.05,29.88,0,Soft Drinks
88,2.59,22.0,0.05,54.13000000000001,1,Juices
90,2.04,4.0,0.0,8.16,3,Alcoholic Beverages
93,2.74,44.0,0.05,114.53,1,Juices
95,0.99,14.0,0.0,13.859999999999998,3,Alcoholic Beverages
96,3.43,13.0,0.0,44.59,1,Juices
97,4.32,7.0,0.0,30.24,3,Alcoholic Beverages
98,3.67,13.0,0.0,47.71,1,Juices
99,1.86,11.0,0.0,20.46,1,Juices
101,1.31,13.0,0.0,17.03,2,Water
103,3.23,12.0,0.0,38.76,1,Juices
104,1.88,15.0,0.0,28.2,3,Alcoholic Beverages
105,0.93,12.0,0.0,11.16,2,Water
106,2.31,3.0,0.0,6.929999999999999,1,Juices
108,0.9,16.0,0.05,13.68,3,Alcoholic Beverages
110,0.68,44.0,0.1,26.929999999999996,0,Soft Drinks
112,0.57,1.0,0.0,0.57,2,Water
113,1.64,8.0,0.0,13.12,1,Juices
114,1.26,12.0,0.0,15.12,2,Water
115,1.8,6.000000000000001,0.0,10.8,1,Juices
117,1.04,48.0,0.05,47.42,2,Water
119,5.06,31.0,0.05,149.02,3,Alcoholic Beverages
120,0.55,14.0,0.0,7.7,0,Soft Drinks
121,3.21,7.0,0.0,22.47,0,Soft Drinks
122,2.28,8.0,0.0,18.24,0,Soft Drinks
123,1.74,3.0,0.0,5.22,0,Soft Drinks
124,2.12,4.0,0.0,8.48,0,Soft Drinks
125,1.46,2.0,0.0,2.92,2,Water
126,2.26,4.0,0.0,9.04,0,Soft Drinks
